Total Kasus,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo,?,
10 Jan,363,559,462,52,127,324,"3,485",63,"1,219","4,031","6,441",28,808,283,598,66,178,284,631,540,334,697,162,648,124,350,618,92,89,103,155,48,61,106,,
11 Jan,363,563,466,53,129,333,"3,516",63,"1,230","4,062","6,511",28,819,285,600,67,178,287,634,540,341,700,163,650,130,355,620,92,90,103,155,49,62,106,,
12 Jan,368,569,468,53,133,336,"3,550",63,"1,245","4,161","6,576",28,827,286,601,69,180,289,635,548,343,701,164,652,139,368,622,94,90,104,155,53,69,106,,
13 Jan,370,575,474,56,133,341,"3,595",64,"1,256","4,255","6,647",28,830,288,603,70,182,289,639,553,344,705,165,659,139,385,627,94,90,105,157,54,73,106,,
14 Jan,372,577,479,58,133,349,"3,638",64,"1,267","4,343","6,716",28,844,289,605,70,183,289,641,556,347,707,167,666,143,398,628,94,90,105,158,57,79,106,,
15 Jan,373,583,483,61,134,367,"3,673",64,"1,294","4,375","6,779",28,852,290,608,72,184,294,647,561,347,707,167,674,144,403,630,94,90,105,158,57,80,106,,
16 Jan,374,586,487,62,135,379,"3,705",66,"1,336","4,443","6,833",28,860,293,610,74,184,294,652,566,350,708,170,686,144,411,635,94,90,105,158,57,86,106,,
17 Jan,374,587,497,63,135,388,"3,738",66,"1,347","4,485","6,890",28,873,294,612,75,186,300,656,569,353,711,170,688,148,420,636,94,90,105,158,58,87,106,,
18 Jan,377,591,497,65,136,394,"3,774",66,"1,375","4,568","6,968",28,881,296,614,76,188,301,662,569,353,715,170,693,151,427,642,94,91,106,159,58,90,107,,
19 Jan,377,597,500,66,136,395,"3,814",66,"1,399","4,672","7,057",28,890,298,616,76,188,303,668,572,354,716,170,694,152,433,646,95,91,106,159,58,90,108,,
20 Jan,378,603,500,69,137,408,"3,847",66,"1,412","4,742","7,135",28,901,301,618,77,189,303,671,578,356,718,170,698,154,435,651,95,92,106,159,59,93,108,,
21 Jan,378,608,505,74,138,417,"3,877",66,"1,485","4,843","7,195",28,912,301,620,79,191,306,677,585,358,719,171,700,156,440,656,95,93,107,159,63,93,108,,
22 Jan,378,616,515,75,139,422,"3,918",67,"1,493","4,871","7,266",28,921,305,623,82,193,307,682,588,369,723,172,704,164,444,657,97,93,107,159,64,103,108,,
23 Jan,378,624,521,76,139,430,"3,949",67,"1,509","4,889","7,325",28,932,307,626,84,193,308,683,588,370,724,172,705,166,463,664,97,93,107,162,66,109,110,,
24 Jan,378,627,522,78,139,439,"3,988",67,"1,517","4,892","7,381",28,939,309,629,86,193,308,683,588,372,726,174,711,168,477,669,99,93,107,162,66,110,110,,
25 Jan,378,637,530,78,139,454,"4,031",67,"1,519","5,018","7,440",28,946,311,632,86,193,308,684,588,377,730,174,712,168,480,671,100,94,107,162,66,114,110,,
26 Jan,378,646,532,79,140,460,"4,077",67,"1,532","5,130","7,514",28,955,311,634,88,194,308,689,588,385,732,174,721,171,489,680,100,95,107,162,68,122,112,,
27 Jan,378,651,534,79,140,475,"4,111",68,"1,638","5,238","7,582",28,962,311,637,90,195,308,694,591,388,735,175,725,173,492,682,100,95,108,163,71,125,113,,
28 Jan,378,659,537,79,140,484,"4,151",68,"1,838","5,319","7,639",28,968,311,639,94,197,312,697,593,416,738,176,730,176,495,683,100,95,108,165,74,130,114,,
29 Jan,378,666,537,81,140,487,"4,195",69,"1,843","5,342","7,691",29,976,313,642,95,197,315,699,597,420,740,177,734,177,499,685,100,96,109,167,74,134,115,,
30 Jan,378,671,537,82,140,494,"4,225",69,"1,870","5,359","7,754",30,987,313,644,100,197,316,701,598,423,742,177,739,183,506,687,100,96,109,168,77,141,115,,
31 Jan,378,680,547,83,141,508,"4,267",72,"1,932","5,384","7,805",30,996,316,647,103,199,320,704,600,429,743,177,740,184,511,688,100,96,111,168,80,144,115,,
1 Feb,378,686,558,84,141,515,"4,312",72,"1,937","5,464","7,864",30,"1,010",318,650,104,202,321,705,602,431,745,178,744,194,521,691,101,96,111,168,82,145,117,,
2 Feb,379,692,580,84,141,521,"4,356",72,"1,985","5,522","7,919",30,"1,018",320,652,105,204,321,708,612,440,748,181,744,199,529,692,103,96,111,168,83,147,119,,
3 Feb,379,698,580,85,141,525,"4,400",74,"1,995","5,529","7,977",30,"1,031",321,655,110,204,325,711,615,442,753,181,749,201,536,693,104,97,111,168,83,148,119,,
4 Feb,379,707,580,85,142,531,"4,440",75,"2,005","5,609","8,016",30,"1,035",323,658,111,204,325,711,617,448,756,181,752,206,542,698,105,97,111,168,83,151,120,,
5 Feb,379,715,582,86,142,533,"4,485",75,"2,033","5,622","8,068",30,"1,046",326,661,112,204,327,714,618,450,760,181,755,207,553,701,106,97,111,168,83,152,120,,
6 Feb,379,727,590,87,142,537,"4,529",76,"2,037","5,631","8,114",30,"1,069",327,665,112,205,329,722,619,451,762,181,758,209,556,704,106,97,111,168,84,157,122,,
7 Feb,379,736,591,88,142,540,"4,573",76,"2,039","5,654","8,152",31,"1,080",328,668,114,205,329,716,620,459,762,181,768,210,558,707,106,98,111,168,86,159,122,,
8 Feb,380,746,599,91,145,553,"4,616",76,"2,051","5,660","8,204",31,"1,080",330,671,116,207,331,718,620,475,765,181,774,211,567,708,107,99,111,168,87,163,122,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meninggal Dunia Harian,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo,?,
21-Mar,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Mar,,1,1,,,,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Mar,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
24-Mar,,,1,,,1,2,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,
25-Mar,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
26-Mar,,,,,,,15,,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
27-Mar,,,,,,,5,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,
28-Mar,,,,,,,11,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Mar,,,,,,,6,,2,,3,,,,,,,,1,,,,,,,,,,,,,,,,,
30-Mar,,,,,,,6,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
31-Mar,,,,,1,,9,,1,,,2,,,,,,,,,,,,,,,,,,1,,,,,,
1-Apr,,,10,1,,,2,,,,1,,1,,,,,,,,,2,,4,,,,,,,,,,,,
2-Apr,,,,,,1,5,,4,,2,,,,,,,,,,,,,,,1,,,,,,,,,,
3-Apr,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Apr,1,,3,,,,1,,1,,3,,,,,,,,,,,,,,,,,,,,1,,,,,
5-Apr,,,,,,,6,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
6-Apr,,,,,,,4,,1,4,,,,,,,,,,,,,,1,,,,,,,1,,,,,
7-Apr,,,1,,,,7,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,
8-Apr,,,,,,4,8,,6,,,,,,,,,,,,1,,,,,,,,,,,,,,,
